番种名称,番数,描述,不计（互斥）,备注
大四喜,88,东、南、西、北四副刻子（杠）组成的和牌,圈风刻、门风刻、三风刻、碰碰和、幺九刻,顶级番种
大三元,88,中、发、白三副刻子（杠）组成的和牌,箭刻、双箭刻,顶级番种
绿一色,88,由2、3、4、6、8条及“发”组成的和牌,混一色；无“发”时可计清一色、断幺,顶级番种
九莲宝灯,88,同花色1112345678999，见本花色任意一张成和,清一色、门前清、幺九刻；自摸计不求人,门前清限定
四杠,88,和牌中有四副杠,单钓将,又称十八罗汉
连七对,88,同花色连续7个对子组成的和牌,七对、清一色、门前清、单钓将；自摸计不求人,顶级番种
十三幺,88,13种幺九牌各1张，加其中1张作将牌,五门齐、门前清、单钓将；自摸计不求人,特殊牌型
清幺九,64,由1、9数牌刻子（杠）和将牌组成，无字牌,碰碰和、全带幺、幺九刻、无字,高级番种
小四喜,64,三副风牌刻子（杠）加另一风牌作将牌,三风刻、幺九刻,高级番种
小三元,64,两副箭牌刻子（杠）加另一箭牌作将牌,双箭刻、箭刻,高级番种
字一色,64,全部由字牌刻子（杠）和将牌组成的和牌,碰碰和、全带幺、幺九刻,高级番种
四暗刻,64,四副暗刻（暗杠）组成的和牌,门前清、碰碰和、三暗刻、双暗刻；自摸计不求人,通常需自摸
一色双龙会,64,同花色两组123和789，5作将牌,七对、清一色、平和、无字、一般高、老少副,特殊牌型
一色四同顺,48,同花色四副完全相同的顺子,一色三节高、四归一、一般高,中级番种
一色四节高,48,同花色四副依次递增一个序数的刻子（杠）,一色三同顺、碰碰和,中级番种
一色四步高,32,同花色四副依次递增一个或两个序数的顺子,连六、老少副,中级番种
三杠,32,和牌中有三副杠,暗杠加计；三暗杠加计三暗刻,中级番种
混幺九,32,由字牌和1、9数牌刻子（杠）、将牌组成的和牌,碰碰和、全带幺、幺九刻,中级番种
七对,24,由七个对子组成的特殊和牌牌型,门前清、单钓将；自摸计不求人,特殊牌型
七星不靠,24,7种字牌各1张 + 三种花色按147/258/369取7张不重复数牌组成没有将牌的和牌,五门齐、门前清；自摸计不求人,特殊牌型
全双刻,24,由2、4、6、8数牌刻子（杠）和将牌组成的和牌,碰碰和、断幺,中级番种
清一色,24,由一种花色数牌组成的和牌,无字,常见高番
一色三同顺,24,同花色三副序数相同的顺子,一色三节高、一般高,中级番种
一色三节高,24,同花色三副依次递增一个序数的刻子（杠）,一色三同顺,中级番种
全大,24,全部由7、8、9数牌组成的和牌,无字,中级番种
全中,24,全部由4、5、6数牌组成的和牌,断幺,中级番种
全小,24,全部由1、2、3数牌组成的和牌,无字,中级番种
清龙,16,同花色123 + 456 + 789三组顺子,无,又称一条龙/一气通贯
三色双龙会,16,两种花色各一组123和789，第三种花色5作将牌,平和、无字、喜相逢、老少副,中级番种
一色三步高,16,同花色三副依次递增一个或两个序数的顺子,无,中级番种
全带五,16,每组面子及将牌都包含5的数牌,断幺,中级番种
三同刻,16,三种花色各一副相同序数的刻子（杠）,无,中级番种
三暗刻,16,和牌中有三副暗刻（暗杠）,无,中级番种
全不靠,12,三种花色147/258/369不错位 + 字牌中任意14张单张牌组成的和牌,五门齐、门前清；自摸计不求人,特殊牌型
组合龙,12,三种花色147/258/369不错位，另加1面子+1将牌,无,特殊牌型
大于五,12,全部由6、7、8、9数牌组成的和牌,无字,低级番种
小于五,12,全部由1、2、3、4数牌组成的和牌,无字,低级番种
三风刻,12,三副风牌刻子（杠）,幺九刻,低级番种
花龙,8,三种花色的顺子连接成123/456/789（每种花色一段）,无,基础番种
推不倒,8,由牌面上下对称的牌组成：1/2/3/4/5/8/9筒、2/4/5/6/8/9条、白板,缺一门,基础番种
三色三同顺,8,三种花色各一副相同序数的顺子,无,基础番种
三色三节高,8,三种花色三副依次递增一个序数的刻子（杠）,无,基础番种
无番和,8,和牌后除花牌外计不出任何番种,无,特殊基础番种
妙手回春,8,自摸牌墙最后一张牌成和,自摸,和牌方式番种
海底捞月,8,和牌墙摸完后打出的最后一张牌,无,和牌方式番种
杠上开花,8,杠牌后补抓牌成和,自摸,和牌方式番种
抢杠和,8,和他人自抓开明杠的牌成和,和绝张,和牌方式番种
双暗杠,8,和牌中有两副暗杠,无,基础番种
碰碰和,6,四副刻子（杠）加一对将牌组成的和牌,无,常见番种
混一色,6,由一种花色数牌和字牌组成的和牌,缺一门,常见番种
三色三步高,6,三种花色三副依次递增一个序数的顺子,无,基础番种
五门齐,6,万、筒、条、风牌、箭牌五门都有的和牌,无,基础番种
全求人,6,四副牌全部通过吃、碰、明杠组成，以单钓将点和,单钓将,基础番种
双箭刻,6,两副箭牌刻子（杠）,箭刻、幺九刻,基础番种
全带幺,4,每组面子及将牌都包含幺九牌（1/9/字牌）,无,基础番种
不求人,4,门前清状态下自摸和牌,自摸、门前清,和牌方式番种
双明杠,4,和牌中有两副明杠,一明杠一暗杠共6番（含暗杠2番）,基础番种
和绝张,4,和牌张是该种牌已亮明3张后的最后一张,抢杠和不计,和牌方式番种
箭刻,2,中、发、白任一刻子（杠）,幺九刻,基础番种
圈风刻,2,与当前圈风相同的风刻（杠）,幺九刻,基础番种
门风刻,2,与自家门风相同的风刻（杠）,幺九刻,基础番种
门前清,2,未吃、碰、明杠，和他人打出的牌成和,无,基础番种
平和,2,四副顺子加数牌将牌组成的和牌,无字,基础番种
四归一,2,手牌中有4张相同的牌但未杠,无,基础番种
双同刻,2,两种花色各一副相同序数的刻子（杠）,无,基础番种
双暗刻,2,两副暗刻（暗杠）,无,基础番种
暗杠,2,一副暗杠,无,基础番种
断幺,2,手牌中没有1、9及字牌,无,基础番种
一般高,1,同花色两副序数相同的顺子,无,基础番种
喜相逢,1,两种花色各一副序数相同的顺子,无,基础番种
连六,1,同花色6张连续牌组成的两副相邻顺子,无,基础番种
老少副,1,同花色123 + 789两副顺子,无,基础番种
幺九刻,1,1、9数牌或字牌组成的刻子（杠）,无,基础番种
明杠,1,一副明杠,无,基础番种
缺一门,1,和牌中缺少一种花色数牌,无,基础番种
无字,1,和牌中没有字牌,无,基础番种
边张,1,以边张（123听3或789听7）方式和牌,无,基础番种
坎张,1,以嵌张（如13听2、46听5）方式和牌,无,基础番种
单钓将,1,单钓一张牌作将成和,无,基础番种
自摸,1,自己从牌墙摸牌成和,无,和牌方式番种
花牌,1,每张花牌计1番，不计入起和番,无,花牌加番
